time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask
2019-05-10 06 AM,1.34683,1.34730,1.34647,1.34697,1.34699,1.34749,1.34662,1.34713
2019-05-10 07 AM,1.34698,1.34699,1.34539,1.34585,1.34716,1.34717,1.34557,1.34602
2019-05-10 08 AM,1.34589,1.34613,1.34530,1.34559,1.34605,1.34629,1.34547,1.34576
2019-05-10 09 AM,1.34557,1.34571,1.34467,1.34555,1.34574,1.34589,1.34483,1.34572
2019-05-10 10 AM,1.34558,1.34632,1.34496,1.34630,1.34575,1.34648,1.34514,1.34646
2019-05-10 11 AM,1.34627,1.34758,1.34609,1.34749,1.34644,1.34775,1.34626,1.34764
2019-05-10 12 PM,1.34750,1.34799,1.33889,1.33902,1.34767,1.34816,1.33907,1.33919
2019-05-10 01 PM,1.33907,1.33968,1.33796,1.33825,1.33924,1.33987,1.33814,1.33843
2019-05-10 02 PM,1.33828,1.34332,1.33813,1.34301,1.33845,1.34350,1.33829,1.34319
2019-05-10 03 PM,1.34300,1.34440,1.34212,1.34283,1.34316,1.34470,1.34229,1.34297
2019-05-10 04 PM,1.34279,1.34379,1.34196,1.34277,1.34295,1.34396,1.34213,1.34294
2019-05-10 05 PM,1.34280,1.34290,1.34160,1.34172,1.34296,1.34306,1.34178,1.34190
2019-05-10 06 PM,1.34175,1.34232,1.34117,1.34212,1.34192,1.34250,1.34133,1.34229
2019-05-10 07 PM,1.34210,1.34244,1.34082,1.34127,1.34226,1.34261,1.34099,1.34144
2019-05-10 08 PM,1.34129,1.34258,1.34083,1.34114,1.34146,1.34286,1.34138,1.34214
2019-05-12 09 PM,1.34215,1.34250,1.34159,1.34168,1.34315,1.34350,1.34208,1.34227
2019-05-12 10 PM,1.34159,1.34321,1.34138,1.34293,1.34224,1.34342,1.34181,1.34312
2019-05-12 11 PM,1.34291,1.34412,1.34281,1.34412,1.34309,1.34430,1.34302,1.34430
2019-05-13,1.34415,1.34429,1.34330,1.34352,1.34432,1.34447,1.34356,1.34371
2019-05-13 01 AM,1.34356,1.34364,1.34293,1.34360,1.34373,1.34383,1.34312,1.34378
2019-05-13 02 AM,1.34358,1.34432,1.34343,1.34372,1.34376,1.34451,1.34360,1.34391
2019-05-13 03 AM,1.34376,1.34391,1.34367,1.34386,1.34393,1.34409,1.34384,1.34404
2019-05-13 04 AM,1.34384,1.34386,1.34352,1.34360,1.34402,1.34405,1.34370,1.34377
2019-05-13 05 AM,1.34357,1.34400,1.34334,1.34347,1.34375,1.34417,1.34352,1.34365
2019-05-13 06 AM,1.34350,1.34445,1.34337,1.34390,1.34368,1.34462,1.34357,1.34407
2019-05-13 07 AM,1.34392,1.34426,1.34312,1.34350,1.34409,1.34444,1.34328,1.34370
2019-05-13 08 AM,1.34348,1.34370,1.34199,1.34292,1.34366,1.34387,1.34216,1.34311
2019-05-13 09 AM,1.34291,1.34295,1.34198,1.34229,1.34307,1.34311,1.34215,1.34245
2019-05-13 10 AM,1.34231,1.34343,1.34225,1.34333,1.34247,1.34360,1.34242,1.34349
2019-05-13 11 AM,1.34331,1.34447,1.34326,1.34379,1.34347,1.34463,1.34342,1.34395
2019-05-13 12 PM,1.34376,1.34530,1.34332,1.34352,1.34392,1.34553,1.34347,1.34370
2019-05-13 01 PM,1.34350,1.34368,1.34233,1.34294,1.34368,1.34384,1.34250,1.34309
2019-05-13 02 PM,1.34294,1.34479,1.34287,1.34424,1.34313,1.34494,1.34304,1.34440
2019-05-13 03 PM,1.34427,1.34759,1.34414,1.34666,1.34443,1.34774,1.34429,1.34681
