time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask
2021-06-23 09 AM,1.39692,1.39699,1.39523,1.39590,1.39707,1.39716,1.39538,1.39605
2021-06-23 10 AM,1.39593,1.39714,1.39543,1.39657,1.39606,1.39731,1.39560,1.39671
2021-06-23 11 AM,1.39655,1.39736,1.39532,1.39713,1.39669,1.39752,1.39548,1.39727
2021-06-23 12 PM,1.39715,1.39924,1.39707,1.39802,1.39730,1.39941,1.39722,1.39818
2021-06-23 01 PM,1.39797,1.39988,1.39797,1.39987,1.39813,1.40006,1.39813,1.40003
2021-06-23 02 PM,1.39985,1.40006,1.39628,1.39667,1.40000,1.40023,1.39644,1.39682
2021-06-23 03 PM,1.39669,1.39778,1.39574,1.39756,1.39685,1.39795,1.39590,1.39769
2021-06-23 04 PM,1.39752,1.39797,1.39620,1.39625,1.39767,1.39812,1.39637,1.39642
2021-06-23 05 PM,1.39628,1.39711,1.39605,1.39695,1.39644,1.39726,1.39620,1.39711
2021-06-23 06 PM,1.39697,1.39701,1.39609,1.39632,1.39713,1.39716,1.39624,1.39648
2021-06-23 07 PM,1.39629,1.39647,1.39512,1.39578,1.39645,1.39664,1.39526,1.39594
2021-06-23 08 PM,1.39579,1.39651,1.39561,1.39596,1.39597,1.39671,1.39578,1.39656
2021-06-23 09 PM,1.39661,1.39684,1.39564,1.39592,1.39721,1.39744,1.39624,1.39652
2021-06-23 10 PM,1.39587,1.39669,1.39587,1.39653,1.39647,1.39714,1.39647,1.39673
2021-06-23 11 PM,1.39655,1.39681,1.39604,1.39656,1.39676,1.39701,1.39627,1.39680
2021-06-24,1.39654,1.39673,1.39577,1.39615,1.39677,1.39691,1.39595,1.39636
2021-06-24 01 AM,1.39619,1.39653,1.39505,1.39640,1.39636,1.39671,1.39523,1.39658
2021-06-24 02 AM,1.39639,1.39659,1.39580,1.39605,1.39655,1.39676,1.39597,1.39623
2021-06-24 03 AM,1.39608,1.39617,1.39519,1.39545,1.39624,1.39635,1.39538,1.39565
2021-06-24 04 AM,1.39543,1.39614,1.39541,1.39588,1.39563,1.39634,1.39560,1.39607
2021-06-24 05 AM,1.39590,1.39611,1.39531,1.39558,1.39609,1.39628,1.39552,1.39578
2021-06-24 06 AM,1.39557,1.39734,1.39481,1.39592,1.39575,1.39751,1.39496,1.39609
2021-06-24 07 AM,1.39589,1.39695,1.39510,1.39557,1.39607,1.39712,1.39527,1.39574
2021-06-24 08 AM,1.39555,1.39858,1.39554,1.39697,1.39571,1.39876,1.39571,1.39714
2021-06-24 09 AM,1.39695,1.39733,1.39492,1.39618,1.39711,1.39748,1.39509,1.39633
2021-06-24 10 AM,1.39616,1.39812,1.39538,1.39696,1.39631,1.39831,1.39556,1.39763
2021-06-24 11 AM,1.39706,1.39803,1.39042,1.39106,1.39771,1.39843,1.39058,1.39124
2021-06-24 12 PM,1.39104,1.39290,1.38897,1.39268,1.39120,1.39306,1.38913,1.39285
2021-06-24 01 PM,1.39267,1.39295,1.39107,1.39262,1.39281,1.39311,1.39122,1.39278
2021-06-24 02 PM,1.39265,1.39290,1.38887,1.38929,1.39280,1.39307,1.38906,1.38944
2021-06-24 03 PM,1.38933,1.39137,1.38931,1.39058,1.38950,1.39153,1.38950,1.39073
2021-06-24 04 PM,1.39060,1.39220,1.39030,1.39152,1.39076,1.39239,1.39048,1.39169
2021-06-24 05 PM,1.39150,1.39212,1.39143,1.39186,1.39167,1.39229,1.39159,1.39207
2021-06-24 06 PM,1.39191,1.39348,1.39191,1.39258,1.39211,1.39365,1.39210,1.39275
2021-06-24 07 PM,1.39260,1.39355,1.39255,1.39348,1.39278,1.39373,1.39271,1.39366
2021-06-24 08 PM,1.39351,1.39384,1.39150,1.39200,1.39368,1.39401,1.39210,1.39260
2021-06-24 09 PM,1.39200,1.39255,1.39158,1.39176,1.39260,1.39315,1.39218,1.39236
2021-06-24 10 PM,1.39183,1.39236,1.39178,1.39203,1.39243,1.39270,1.39225,1.39225
2021-06-24 11 PM,1.39200,1.39213,1.39149,1.39149,1.39224,1.39231,1.39172,1.39172
2021-06-25,1.39147,1.39185,1.39120,1.39153,1.39169,1.39204,1.39141,1.39172
2021-06-25 01 AM,1.39158,1.39323,1.39156,1.39319,1.39177,1.39344,1.39175,1.39338
2021-06-25 02 AM,1.39317,1.39343,1.39291,1.39302,1.39336,1.39362,1.39308,1.39323
2021-06-25 03 AM,1.39304,1.39344,1.39285,1.39287,1.39325,1.39365,1.39303,1.39305
2021-06-25 04 AM,1.39289,1.39299,1.39201,1.39225,1.39309,1.39317,1.39220,1.39246
2021-06-25 05 AM,1.39227,1.39303,1.39194,1.39281,1.39249,1.39322,1.39214,1.39299
2021-06-25 06 AM,1.39281,1.39317,1.39192,1.39235,1.39299,1.39333,1.39208,1.39251
2021-06-25 07 AM,1.39237,1.39242,1.38981,1.39099,1.39254,1.39259,1.38998,1.39115
2021-06-25 08 AM,1.39096,1.39168,1.38951,1.39102,1.39113,1.39184,1.38968,1.39120
2021-06-25 09 AM,1.39099,1.39155,1.39032,1.39066,1.39118,1.39172,1.39051,1.39083
2021-06-25 10 AM,1.39064,1.39083,1.38954,1.38987,1.39080,1.39100,1.38972,1.39001
2021-06-25 11 AM,1.38988,1.39066,1.38902,1.38951,1.39005,1.39082,1.38919,1.38968
2021-06-25 12 PM,1.38955,1.39083,1.38907,1.39037,1.38968,1.39100,1.38926,1.39054
2021-06-25 01 PM,1.39040,1.39270,1.39040,1.39263,1.39056,1.39286,1.39056,1.39283
2021-06-25 02 PM,1.39261,1.39304,1.39076,1.39134,1.39280,1.39320,1.39092,1.39151
2021-06-25 03 PM,1.39136,1.39179,1.38936,1.38975,1.39153,1.39195,1.38952,1.38991
